"동별(1)","항목",2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2021 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4
"동별(1)","항목",계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"도봉구","계",2052,54,29,26,40,235,306,315,245,167,186,171,149,81,29,12,2,3,1,1,-,-,1993,51,31,24,37,254,317,295,227,163,169,174,135,69,33,8,2,3,1,-,-,-,2096,47,35,26,64,273,312,304,252,180,154,170,147,75,36,14,3,3,1,-,-,-,2393,49,52,26,91,414,371,310,262,196,157,182,136,89,35,15,4,1,2,1,0,0
"도봉구","남자",803,33,23,14,17,78,117,115,92,66,76,63,55,33,10,7,1,1,1,1,-,-,736,30,23,12,13,77,108,101,76,70,57,73,48,31,9,5,1,1,1,-,-,-,750,32,19,13,13,79,103,94,89,72,53,72,59,30,10,9,1,1,1,-,-,-,823,33,28,12,20,103,111,100,104,72,52,74,55,38,10,7,2,1,0,1,0,0
"도봉구","여자",1249,21,6,12,23,157,189,200,153,101,110,108,94,48,19,5,1,2,-,-,-,-,1257,21,8,12,24,177,209,194,151,93,112,101,87,38,24,3,1,2,-,-,-,-,1346,15,16,13,51,194,209,210,163,108,101,98,88,45,26,5,2,2,-,-,-,-,1570,16,24,14,71,311,260,210,158,124,105,108,81,51,25,8,2,0,2,0,0,0
"노원구","계",4046,77,53,27,187,1151,683,453,358,244,206,228,200,108,41,14,10,3,1,1,-,1,3985,71,45,38,161,1171,683,468,349,244,190,198,186,106,39,18,10,5,2,1,-,-,4183,71,54,38,173,1169,805,483,360,254,202,186,183,110,52,22,12,6,2,-,1,-,4434,57,59,29,188,1119,956,540,387,267,225,200,188,110,63,24,13,5,3,0,1,0
"노원구","남자",1821,41,22,15,77,584,331,183,150,96,83,101,69,39,17,5,6,1,1,-,-,-,1790,33,26,19,70,559,347,181,152,95,83,85,69,38,15,8,6,3,1,-,-,-,1829,39,28,20,88,488,383,204,158,108,83,73,74,38,23,10,7,4,1,-,-,-,1875,30,27,13,92,407,451,240,177,101,90,83,75,38,28,12,6,3,2,0,0,0
"노원구","여자",2225,36,31,12,110,567,352,270,208,148,123,127,131,69,24,9,4,2,-,1,-,1,2195,38,19,19,91,612,336,287,197,149,107,113,117,68,24,10,4,2,1,1,-,-,2354,32,26,18,85,681,422,279,202,146,119,113,109,72,29,12,5,2,1,-,1,-,2559,27,32,16,96,712,505,300,210,166,135,117,113,72,35,12,7,2,1,0,1,0
"은평구","계",4296,120,92,73,136,299,495,613,494,387,364,381,427,234,91,37,25,17,8,3,-,-,3899,98,85,73,114,251,483,520,497,362,292,380,354,187,104,43,24,20,8,3,1,-,3835,86,81,73,110,244,447,526,499,401,268,334,335,200,116,52,27,23,8,3,2,-,4057,82,87,66,121,269,452,532,549,433,301,326,339,240,137,57,31,16,13,4,2,0
"은평구","남자",1740,55,48,45,61,89,157,236,198,162,149,161,191,95,49,18,12,9,3,2,-,-,1594,49,40,39,62,75,155,194,200,152,128,157,148,88,51,25,15,10,4,1,1,-,1568,42,37,42,61,69,141,188,198,169,119,144,144,93,54,30,21,11,2,2,1,-,1608,45,43,35,53,84,121,176,228,171,131,142,135,110,61,36,18,11,4,3,1,0
"은평구","여자",2556,65,44,28,75,210,338,377,296,225,215,220,236,139,42,19,13,8,5,1,-,-,2305,49,45,34,52,176,328,326,297,210,164,223,206,99,53,18,9,10,4,2,-,-,2267,44,44,31,49,175,306,338,301,232,149,190,191,107,62,22,6,12,6,1,1,-,2449,37,44,31,68,185,331,356,321,262,170,184,204,130,76,21,13,5,9,1,1,0
"서대문구","계",10648,110,157,172,472,3068,2138,1077,689,523,519,429,490,351,197,114,68,43,23,4,3,1,10166,94,165,175,371,3044,2025,989,691,556,438,423,414,330,201,102,65,45,29,6,2,1,12010,99,165,184,554,3943,2522,1065,747,611,432,452,401,329,221,126,75,46,28,5,4,1,13938,80,166,174,587,4852,3214,1264,800,658,455,455,378,327,236,133,72,46,27,9,3,2
