동별,연령별,시점,남자,여자
교남동,25~29세,2023. 3/4,2,5
교남동,30~34세,2020. 3/4,8,14
교남동,30~34세,2022. 3/4,7,8
교남동,30~34세,2023. 3/4,7,6
교남동,35~39세,2020. 3/4,12,15
교남동,35~39세,2022. 3/4,11,18
교남동,35~39세,2023. 3/4,13,14
교남동,40~44세,2020. 3/4,7,10
교남동,40~44세,2022. 3/4,13,11
교남동,40~44세,2023. 3/4,11,14
교남동,45~49세,2020. 3/4,6,5
교남동,45~49세,2022. 3/4,9,12
교남동,45~49세,2023. 3/4,11,11
교남동,50~54세,2020. 3/4,11,4
교남동,50~54세,2022. 3/4,10,3
교남동,50~54세,2023. 3/4,10,6
교남동,55~59세,2020. 3/4,7,3
교남동,55~59세,2022. 3/4,5,3
교남동,55~59세,2023. 3/4,7,3
교남동,60~64세,2020. 3/4,4,5
교남동,60~64세,2022. 3/4,8,5
교남동,60~64세,2023. 3/4,4,1
교남동,65~69세,2020. 3/4,1,1
교남동,65~69세,2022. 3/4,2,1
교남동,65~69세,2023. 3/4,3,3
교남동,70~74세,2020. 3/4,2,1
교남동,70~74세,2022. 3/4,2,1
교남동,70~74세,2023. 3/4,3,1
교남동,75~79세,2020. 3/4,1,0
교남동,75~79세,2022. 3/4,0,0
교남동,75~79세,2023. 3/4,0,0
교남동,80~84세,2020. 3/4,0,0
교남동,80~84세,2022. 3/4,1,0
교남동,80~84세,2023. 3/4,1,0
교남동,85~89세,2020. 3/4,0,0
교남동,85~89세,2022. 3/4,0,0
교남동,85~89세,2023. 3/4,0,0
교남동,90~94세,2020. 3/4,0,1
교남동,90~94세,2022. 3/4,0,1
교남동,90~94세,2023. 3/4,0,0
교남동,95~99세,2020. 3/4,0,0
교남동,95~99세,2022. 3/4,0,0
교남동,95~99세,2023. 3/4,0,1
교남동,100세 이상,2020. 3/4,0,0
교남동,100세 이상,2022. 3/4,0,0
교남동,100세 이상,2023. 3/4,0,0
가회동,0~4세,2020. 3/4,0,0
가회동,0~4세,2022. 3/4,1,5
가회동,0~4세,2023. 3/4,0,3
가회동,5~9세,2020. 3/4,0,0
가회동,5~9세,2022. 3/4,3,3
가회동,5~9세,2023. 3/4,2,3
가회동,10~14세,2020. 3/4,1,1
가회동,10~14세,2022. 3/4,3,4
가회동,10~14세,2023. 3/4,2,3
가회동,15~19세,2020. 3/4,3,0
가회동,15~19세,2022. 3/4,2,1
가회동,15~19세,2023. 3/4,3,2
가회동,20~24세,2020. 3/4,2,1
가회동,20~24세,2022. 3/4,1,0
가회동,20~24세,2023. 3/4,0,0
가회동,25~29세,2020. 3/4,2,1
가회동,25~29세,2022. 3/4,1,3
가회동,25~29세,2023. 3/4,1,2
가회동,30~34세,2020. 3/4,5,4
가회동,30~34세,2022. 3/4,4,4
가회동,30~34세,2023. 3/4,5,3
가회동,35~39세,2020. 3/4,3,6
가회동,35~39세,2022. 3/4,10,9
가회동,35~39세,2023. 3/4,11,5
가회동,40~44세,2020. 3/4,8,8
가회동,40~44세,2022. 3/4,6,10
가회동,40~44세,2023. 3/4,6,10
가회동,45~49세,2020. 3/4,6,5
가회동,45~49세,2022. 3/4,8,6
가회동,45~49세,2023. 3/4,6,6
가회동,50~54세,2020. 3/4,8,4
가회동,50~54세,2022. 3/4,7,7
가회동,50~54세,2023. 3/4,5,8
가회동,55~59세,2020. 3/4,4,6
가회동,55~59세,2022. 3/4,5,6
가회동,55~59세,2023. 3/4,7,5
가회동,60~64세,2020. 3/4,6,4
가회동,60~64세,2022. 3/4,5,8
가회동,60~64세,2023. 3/4,4,5
가회동,65~69세,2020. 3/4,4,1
가회동,65~69세,2022. 3/4,0,1
가회동,65~69세,2023. 3/4,0,1
가회동,70~74세,2020. 3/4,1,0
가회동,70~74세,2022. 3/4,2,0
가회동,70~74세,2023. 3/4,2,0
가회동,75~79세,2020. 3/4,0,0
가회동,75~79세,2022. 3/4,0,0
가회동,75~79세,2023. 3/4,0,0
가회동,80~84세,2020. 3/4,0,0
가회동,80~84세,2022. 3/4,0,0
가회동,80~84세,2023. 3/4,0,0
가회동,85~89세,2020. 3/4,0,0
가회동,85~89세,2022. 3/4,0,0
가회동,85~89세,2023. 3/4,0,0
가회동,90~94세,2020. 3/4,0,0
가회동,90~94세,2022. 3/4,0,0
가회동,90~94세,2023. 3/4,0,0
가회동,95~99세,2020. 3/4,0,0
